numero,type,voie,code,commune
23,BD,EMILE ROMANET,44100,NANTES
11,RUE,DU DOCTEUR ALFRED CORLAY,44800,ST-HERBLAIN
38,RUE,DE LA PLANCHE AU GUE,44300,NANTES
8,RUE,DES CARMELITES,44000,NANTES
23,RUE,DES CANARIS,44300,NANTES
5,BD,HONORE DE BALZAC,44100,NANTES
6,AV,DES CIGALES,44300,NANTES
25,RUE,LOUIS BROCHU,44230,ST SEBASTIEN SUR LOIRE
4,BD,BOULAY PATY,44100,NANTES
2,RUE,BOSSUET,44000,NANTES
2,RUE,BOSSUET,44000,NANTES
40,RUE,ALEXANDRE FOURNY,44230,ST SEBASTIEN SUR LOIRE
5,RUE,LAMBERT,44800,ST-HERBLAIN
24,RUE,GEOFFROY,44300,NANTES
15,RUE,PIERRE LOTI,44300,NANTES
6,CHE,DU FORT,44300,NANTES
8,RUE,CLAUDE ET SIMONE MILLOT,44300,NANTES
14,RUE,CLAUDE ET SIMONE MILLOT,44300,NANTES
65,RUE,DOCTEUR GUSTAVE RAPPIN,44000,NANTES
9,RUE,DU DOCTEUR ALFRED CORLAY,44800,ST-HERBLAIN
27,RUE,LOUIS LUMIERE,44000,NANTES
8,RUE,CLAUDE ET SIMONE MILLOT,44300,NANTES
14,RUE,CLAUDE ET SIMONE MILLOT,44300,NANTES
9,RUE,DU DOCTEUR ALFRED CORLAY,44800,ST-HERBLAIN
4,RUE,DU PORT DURAND,44300,NANTES
12,RUE,CLAUDE ET SIMONE MILLOT,44300,NANTES
10,IMP,HALGAN,44300,NANTES
12,ALL,DE L ILE GLORIETTE,44000,NANTES
89,RUE,DES ALOUETTES,44100,NANTES
14,RUE,CLAUDE ET SIMONE MILLOT,44300,NANTES
7,RUE,JEAN EMILE LABOUREUR,44000,NANTES
30,BD,DE L EGALITE,44100,NANTES
30,BD,DE L EGALITE,44100,NANTES
30,BD,DE L EGALITE,44100,NANTES
30,BD,DE L EGALITE,44100,NANTES
30,BD,DE L EGALITE,44100,NANTES
30,BD,DE L EGALITE,44100,NANTES
30,BD,DE L EGALITE,44100,NANTES
30,BD,DE L EGALITE,44100,NANTES
9,AV,GENERAL DE WET,44100,NANTES
7,RUE,DE L ARDECHE,44800,ST-HERBLAIN
5,RUE,CHARLES BRUNELLIERE,44100,NANTES
10,AV,DES GUITARES,44300,NANTES
12,RUE,CLAUDE ET SIMONE MILLOT,44300,NANTES
3,RUE,DE L ANCIEN PONT,44230,ST SEBASTIEN SUR LOIRE
20,RUE,PIERRE DUPONT,44100,NANTES
25,AV,DES INGENIEURS,44300,NANTES
22,RUE,DE CHATEAUBRIAND,44000,NANTES
4,ALL,BALTARD,44300,NANTES
12,RUE,CLAUDE ET SIMONE MILLOT,44300,NANTES
39,AV,ARMAND BOUVIER,44000,NANTES
28,RUE,DES PAVILLONS,44100,NANTES
28,RUE,DES PAVILLONS,44100,NANTES
6,AV,DE L EVEIL,44300,NANTES
12,CHE,DU CLOS GAUX,44300,NANTES
8,RUE,EMILE MASSON,44000,NANTES
9010,,LA BRETINAIS,44800,ST-HERBLAIN
51,QUAI,MAGELLAN,44000,NANTES
39,RUE,DES SAPHIRS,44800,ST-HERBLAIN
35,QUAI,DE MALAKOFF,44000,NANTES
52,RUE,BONNE GARDE,44230,ST SEBASTIEN SUR LOIRE
4,CRS,SULLY,44000,NANTES
187,RTE,DE CLISSON,44230,ST SEBASTIEN SUR LOIRE
10,RUE,DU LOQUIDY,44300,NANTES
3,IMP,DE LA CALYPSO,44000,NANTES
2,RUE,DU KIRIOL,44200,NANTES
18,RUE,LAENNEC,44000,NANTES
28,AV,CDT NOURY,44100,NANTES
8,RUE,DU MILLAU,44300,NANTES
