Identifiant;Nom;Type;Adresse;Code postal;Commune;Géolocalisation;Web;Accès transports en commun;Informations complémentaires;Gardien;Jeux pour enfants;Pataugeoire;Sanitaires;Sanitaires pour handicapés;Chiens autorisés;Jardin clos;Abris;Point d'eau;Table pique-nique
4595;Parc du Petit Port;Parc;Boulevard des Tribunes;44300;Nantes;47.2454910542, -1.55839467091;http://www.jardins.nantes.fr;"Ligne C2 Pont du Cens ; Ligne 25 Hippodrome";;NON;NON;NON;NON;NON;OUI;NON;NON;NON;OUI
1344;Parc de la Boucardière;Parc;54 Rue de l'Abbaye;44100;Nantes;47.201141267, -1.59763905984;http://www.jardins.nantes.fr;Bois Hardy Ligne 25 Gare de chantenay Ligne 81;;NON;OUI;NON;NON;NON;OUI;OUI;NON;OUI;NON
4601;Espace de jeux de Belle Ile;Parc;Rue de Coetquelfen;44300;Nantes;47.2449936504, -1.54179260331;http://www.jardins.nantes.fr;Ligne 2 Michelet / Ligne 23 Bonneville;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;OUI
2372;Parc Floral de la Beaujoire;Parc;Route de Saint Joseph;44300;Nantes;47.2621589285, -1.53304266828;http://www.jardins.nantes.fr;Ligne 1 Beaujoire;Magnolias, Iris, Bruyères, Vivaces, Rosiers;OUI;OUI;NON;OUI;OUI;OUI;OUI;OUI;OUI;NON
4542;Le Parc des Oblates;Parc;Rue de la Brianderie;44100;Nantes;47.2003964961, -1.58503740068;http://www.jardins.nantes.fr;"Ligne 54 St Nicolas ; Ligne C1 Hérelle";;NON;NON;NON;NON;NON;OUI;OUI;NON;NON;NON
4596;Parc des Chantiers;Parc;Boulevard Léon Bureau;44200;Nantes;47.2067729388, -1.56619712051;;Ligne 1 Chantiers Navals;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;OUI
3217;Square Gustave Roch;Parc;22 Boulevard Gustave Roch;44200;Nantes;47.2050803441, -1.54994737906;http://www.jardins.nantes.fr;"Wattignies Lignes 2 ; 3";;NON;OUI;NON;NON;NON;OUI;OUI;NON;NON;NON
3208;Square Charles Housset;Parc;Rue Charles Housset;44100;Nantes;47.2026323604, -1.60835729019;http://www.jardins.nantes.fr;Ligne 1 Lauriers;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
1519;Square Washington;Parc;Boulevard des Américains;44300;Nantes;47.2332069519, -1.57435821228;http://www.jardins.nantes.fr;;;;;;;;;;;;
4605;Jardin des Quatre Jeudis;Parc;Passage des Tauzins;44300;Nantes;47.2657324437, -1.52019745957;http://www.jardins.nantes.fr;Ligne 2 Place du Cirque / Ligne C6 Portricq;;NON;OUI;NON;NON;OUI;OUI;NON;NON;NON;NON
4087;Parc de l'Amande;Parc;Rue Eugène Thomas;44300;Nantes;47.2628439237, -1.57097204597;;;;;;;;;;;;;
1526;Square Gaston Michel;Parc;Boulevard des Américains;44300;Nantes;47.2349545052, -1.57148515017;http://www.jardins.nantes.fr;Américains Ligne C2;;NON;OUI;NON;NON;NON;NON;OUI;NON;NON;NON
4575;Cours Cambrone;Parc;Cours Cambronne;44000;Nantes;47.211930285, -1.56316982258;http://www.jardins.nantes.fr;Ligne 1 Médiathèque;;NON;NON;NON;OUI;NON;OUI;OUI;NON;NON;NON
4603;Jardin des Farfadets;Parc;Allée de Portricq;44300;Nantes;47.2669014667, -1.52149021733;http://www.jardins.nantes.fr;Ligne 2 Place du cirque / Ligne C6 Portricq;;NON;NON;NON;NON;NON;OUI;NON;NON;NON;NON
4579;Square du Lait de Mai;Parc;Passage Berthault;44000;Nantes;47.2121059754, -1.54834510513;http://www.jardins.nantes.fr;Ligne 2 Aimé Delrue;;NON;OUI;NON;NON;OUI;NON;OUI;NON;OUI;NON
